Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U80,SLSS49E-3,SLSS49E_MX_1U,290.5125,-23.8325,0,bottom
U82,SLSS49E-3,SLSS49E_MX_1U,228.6,-23.8325,0,bottom
U83,SLSS49E-3,SLSS49E_MX_1U,238.125,-42.8825,0,bottom
U84,SLSS49E-3,SLSS49E_MX_2.25U-ReversedStabilizers,254.79375,-61.04255,0,bottom
U85,TPS63001,Texas_DRC0010J_ThermalVias,290.562499,-10.8425,90,bottom
U86,SLSS49E-3,SLSS49E_MX_1U,309.5625,-23.8325,0,bottom
U87,SLSS49E-3,SLSS49E_MX_1U,328.6125,-23.8325,0,bottom
U88,SLSS49E-3,SLSS49E_MX_1U,290.5125,-42.8825,0,bottom
U89,SLSS49E-3,SLSS49E_MX_1.5U,261.9375,-42.8825,0,bottom
U9,SLSS49E-3,SLSS49E_MX_1U,42.8625,-0.02,0,bottom
U90,SLSS49E-3,SLSS49E_MX_1U,309.5625,-42.8825,0,bottom
U91,SLSS49E-3,SLSS49E_MX_1U,328.6125,-42.8825,0,bottom
U92,SLSS49E-3,SLSS49E_MX_1U,238.125,-100.0325,0,bottom
U93,SLSS49E-3,SLSS49E_MX_1U,309.5625,-0.02,0,bottom
U94,SLSS49E-3,SLSS49E_MX_1U,290.5125,-100.0325,0,bottom
U95,SLSS49E-3,SLSS49E_MX_1U,309.5625,-100.0325,0,bottom
U96,SLSS49E-3,SLSS49E_MX_1U,328.6125,-100.0325,0,bottom
U97,SLSS49E-3,SLSS49E_MX_1U,309.5625,-80.9825,0,bottom
U98,SLSS49E-3,SLSS49E_MX_1.5U,261.9375,-100.0325,0,bottom
U99,SLSS49E-3,SLSS49E_MX_1U,328.6125,-0.02,0,bottom
Y2,8Mhz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,287.795293,-74.42502,0,bottom
